DATE,SAHMREALTIME,T10YIE,GEPUCURRENT,NFCI,^MOVE,^SKEW,USD_Log_Ret_1M
2023-10-31,0.33,2.42,190.44380861220512,-0.288,126.86000061035156,128.2100067138672,0.012421339005620974
2023-11-30,0.3,2.23,207.97210385954008,-0.323,115.31999969482422,144.5399932861328,-0.029443317826729022
2023-12-31,0.23,2.16,223.02369978288257,-0.368,114.62000274658203,138.0500030517578,-0.015273639128295753
2024-01-31,0.2,2.26,239.6974681015976,-0.398,107.27999877929688,150.2100067138672,0.016850029339087372
2024-02-29,0.27,2.33,167.97191002157467,-0.428,109.0999984741211,149.8300018310547,0.006202436533608645
2024-03-31,0.3,2.32,179.48343979338063,-0.432,86.37999725341797,155.44000244140625,-0.0013484641898980393
2024-04-30,0.37,2.41,171.2627344483271,-0.414,107.45999908447266,132.39999389648438,0.016116451655929554
2024-05-31,0.37,2.35,184.1644205149855,-0.41,91.13999938964844,148.10000610351562,-0.007240835069019001
2024-06-30,0.43,2.28,173.4343793636483,-0.382,98.58999633789062,141.7899932861328,0.017152095851532073
2024-07-31,0.53,2.24,229.01164085374728,-0.363,99.41000366210938,136.69000244140625,-0.00462381738519731
2024-08-31,0.57,2.15,191.118520250742,-0.393,107.7699966430664,159.0,-0.010661032372832988
2024-09-30,0.5,2.18,202.1776237145468,-0.429,94.61000061035156,154.3000030517578,-0.008536556109327652
2024-10-31,0.43,2.33,204.92841907731767,-0.446,135.17999267578125,152.07000732421875,0.028548149554184513
2024-11-30,0.43,2.26,282.5926597399031,-0.475,95.22000122070312,167.94000244140625,0.014170098812986814
2024-12-31,0.4,2.34,327.5750370944677,-0.484,98.80000305175781,169.16000366210938,0.021088317397048622
2025-01-31,0.37,2.42,309.1073681757701,-0.509,91.76000213623047,158.47000122070312,-0.0061662134783195864
2025-02-28,0.27,2.38,327.7075661569745,-0.481,104.45999908447266,157.94000244140625,-0.0015757706951121853
